Sample ID,Orientation,Irrad. T (C),"Fast fluence ( 10 n/m3,E>0.1MeV)",dpa,Test T (C),YS (MPa),UTS (MPa),UE (%),TE (%),UR (MJ/m³),U1 (MJ/m³)
1W55*,110,N/A,0,0,22,brittle,439,0.2,0.2,0.24,-
1W56,110,N/A,0,0,90,brittle,225,0,0,0.063,-
1W57,110,N/A,0,0,300,233,299,3.3,50.9,0.068,124.16
1W58,110,N/A,0,0,400,118,196,25.6,58.6,0.017,104.11
1W59,110,N/A,0,0,500,71,167,26.2,53.4,0.0064,74.89
1W60,110,N/A,0,0,650,73,135,42.7,75.8,0.0066,92.28
1W05*,110,90,0.02,0.004,22,654,671,0.5,0.5,0.54,2.44
1W06,110,90,0.02,0.004,90,583,619,1.2,1.3,0.42,7.12
1W15,110,90,0.02,0.004,300,272,321,3.3,53.5,0.092,149.14
1W25',110,90,0.1,0.02,22,674,674,0.2,0.2,0.57,
1W26,110,90,0.1,0.02,90,667,667,0.2,0.3,0.56,1.7
1W35,110,90,0.1,0.02,300,458,458,0.5,43.2,0.26,150.17
1W01,110,370,0.02,0.004,22,brittle,773,0.04,0.04,0.75,-
1W02,110,370,0.02,0.004,300,376,440,1.8,18.7,0.18,62.67
IW47,110,460,0.1,0.02,22,brittle,844,0,0,0.89,-
1W48,110,460,0.1,0.02,300,485,485,0.2,25.9,0.29,82.78
1W50,110,360,0.52,0.1,22,brittle,507,0,0,0.32,-
1W49,110,360,0.52,0.1,300,471,471,0.2,35,0.28,132.69
1W07,110,430,2.82,0.55,22,brittle,278,0,0,0.096,-
1W08,110,430,2.82,0.55,300,brittle,683,0,0,0.58,-
1W13,110,800,0.08,0.02,22,brittle,627,0,0,0.49,-
1W14,110,800,0.08,0.02,500,206,238,4,20.6,0.053,37.75
1W23,110,830,0.13,0.03,22,brittle,813,0,0,0.83,-
1W24,110,830,0.13,0.03,650,261,278,1,13.3,0.085,22.29
1W53,110,800,0.46,0.09,22,brittle,592,0,0,0.44,-
1W54,110,800,0.46,0.09,650,407,424,1.5,21.1,0.21,53.31
1W51,110,690,0.54,0.1,22,brittle,393,0,0,0.19,-
1W52,110,690,0.54,0.1,500,530,530,0.02,11.9,0.35,53
1W17,110,700,2.2,0.43,22,brittle,359,0,0,0.16,-
1W18,110,700,2.2,0.43,500,1176,1214,0.4,0.5,1.7,5.42
1W19,110,770,9,1.8,22,B.I.H.,-,-,-,-,-
IW20,110,770,9,1.8,22,B.I.H.,-,-,-,-,-
W56,100,N/A,0,0,22,brittle,322,0,0,0.13,-
W57,100,N/A,0,0,90,brittle,298,0,0,0.11,-
W58,100,N/A,0,0,300,222,507,3.3,3.3,0.062,12.9
W59,100,N/A,0,0,500,66,204,29.9,45.3,0.0055,70.91
W60,100,N/A,0,0,650,60,188,72.6,94.2,0.0046,138.1
W05,100,90,0.02,0.004,22,brittle,667,0.1,0.1,0.56,-
W15,100,90,0.02,0.004,90,brittle,497,0,0,0.31,-
W16,100,90,0.02,0.004,300,338,378,4.8,4.8,0.14,16.59
W36,100,90,0.1,0.02,22,brittle,1177,0.02,0.02,1.7,-
W37,100,90,0.1,0.02,90,brittle,966,0,0,1.2,-
W38,100,90,0.1,0.02,300,471,473,0.2,1.8,0.28,7.69
W01,100,370,0.02,0.004,22,brittle,776,0,0,0.75,-
W02,100,370,0.02,0.004,300,476,476,0.2,5.1,0.28,22.11
W03,100,460,0.1,0.02,22,brittle,909,0,0,1,-
W04,100,460,0.1,0.02,22,B.I.H.,-,-,-,-,-
W52,100,360,0.52,0.1,22,brittle,716,0,0,0.64,-
W53,100,360,0.52,0.1,22,B.I.H.,,-,-,-,-
W08,100,430,2.82,0.55,22,brittle,225,0,0,0.063,-
W07,100,430,2.82,0.55,22,B.I.H.,,-,-,-,-
W13,100,800,0.08,0.02,22,brittle,460,0,0,0.26,-
W24,100,830,0.13,0.03,22,brittle,416,0,0,0.22,-
W25,100,830,0.13,0.03,650,241,286,4.4,19.7,0.072,44.31
W27,100,800,0.46,0.09,22,brittle,385,0,0,0.19,-
W26,100,800,0.46,0.09,22,B.I.H.,-,-,-,-,-
W54,100,690,0.54,0.11,22,brittle,286,0,0,0.1,-
W55,100,690,0.54,0.11,22,B.I.H.,-,-,-,-,-
W17,100,700,2.2,0.43,22,B.I.H.,-,-,-,-,-
W18,100,700,2.2,0.43,22,B.I.H.,-,-,-,-,-
W19,100,770,9,1.8,22,B.I.H.,-,-,-,-,-
W20,100,770,9,1.8,22,B.I.H.,-,-,-,-,-
