,time,X,std,temperature
0,392.5855513307984,0.0138461538461538,0.066153846153846,1400.0
1,1503.802281368821,0.0553846153846153,0.08923076923076928,1400.0
2,3586.501901140684,0.1953846153846153,0.0984615384615384,1400.0
3,4498.09885931559,0.0938461538461538,0.0999999999999999,1400.0
4,5383.079847908745,0.2784615384615384,0.19538461538461527,1400.0
5,295.7746478873239,0.0015151515151512,0.025757575757575903,1450.0
6,506.1032863849766,0.0030303030303029,0.0378787878787877,1450.0
7,696.713615023474,0.009090909090909,0.0848484848484847,1450.0
8,861.0328638497654,0.1848484848484847,0.1742424242424243,1450.0
9,1012.206572769953,0.2803030303030301,0.23787878787878797,1450.0
10,2011.2676056338023,0.3515151515151514,0.1318181818181819,1450.0
11,2892.018779342723,0.4030303030303029,0.10000000000000003,1450.0
12,2990.610328638498,0.2924242424242423,0.16060606060606059,1450.0
13,4699.530516431925,0.6666666666666666,0.1636363636363637,1450.0
14,5396.244131455399,0.8272727272727273,0.06818181818181823,1450.0
15,6513.615023474179,0.7075757575757575,0.1227272727272728,1450.0
16,87.53568030447184,-0.0030816640986133,0.0123695897952078,1500.0
17,612.7497621313034,0.3759630200308166,0.116297041888688,1500.0
18,1023.7868696479544,0.3605546995377504,0.190528891793519,1500.0
19,1556.6127497621312,0.5315870570107859,0.11547176651862578,1500.0
20,2424.357754519505,0.7149460708782742,0.10393937803813447,1500.0
21,3254.043767840152,0.7195685670261942,0.06835712956823303,1500.0
22,102.55198487712664,0.0015290519877673,0.0153162772618498,1550.0
23,158.790170132325,0.0,0.0459418070444104,1550.0
24,241.49338374291108,0.0443425076452597,0.1654584111908811,1550.0
25,393.6672967863893,0.1529051987767582,0.08292941071788179,1550.0
26,549.149338374291,0.3990825688073393,0.14303075431670353,1550.0
27,645.0850661625708,0.4525993883792047,0.24265329155953946,1550.0
28,800.5671077504725,0.6437308868501528,0.14646819431370628,1550.0
29,1594.5179584120983,0.8883792048929662,0.05036505238115341,1550.0
30,2993.8563327032134,0.9296636085626908,0.07208321040036314,1550.0
31,1197.542533081285,0.9831804281345564,0.012276905929349602,1550.0
32,21.641791044776127,0.0484114977307111,0.09984871406959131,1600.0
33,48.507462686567166,0.113464447806354,0.14826021180030247,1600.0
34,150.74626865671638,0.2511346444780636,0.09531013615733719,1600.0
35,250.0,0.5763993948562784,0.07564296520423586,1600.0
36,347.0149253731343,0.947049924357035,0.048411497730711295,1600.0
37,448.5074626865671,0.957639939485628,0.03782148260211815,1600.0
38,517.1641791044775,0.9425113464447809,0.04992435703479603,1600.0
39,700.7462686567164,0.9727685325264752,0.025718608169440382,1600.0
